SALE TYPE,SOLD DATE,PROPERTY.TYPE,ADDRESS,CITY,STATE.OR.PROVINCE,ZIP.OR.POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE.FEET,LOT.SIZE,YEAR.BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,1603 Silver Marten Trl,Arlington,TX,76005,354434,3,2,Viridian,2117,4312,2020,5,167,83,Active,,,14411641,N,Y,32.79401,-97.083271
MLS Listing,,Ranch,6905 Hidden Valley Rd,Flower Mound,TX,75022,2100000,0,,Mep & P,,256568,,41,,,Active,,,14382484,N,Y,33.029486,-97.139008
MLS Listing,,Single Family Residential,3015 High Meadows Dr,Arlington,TX,76014,215000,3,2,High Meadows Add,1521,4312,1978,13,141,,Active,,,14404369,N,Y,32.6947081,-97.0980256
MLS Listing,,Single Family Residential,4623 Copper Mountain Trl,Arlington,TX,76005,552637,3,2,Viridian,3870,4312,2020,14,143,83,Active,,,14403856,N,Y,32.8063652,-97.0751419
MLS Listing,,Single Family Residential,403 Red River Trl,Irving,TX,75063,369000,4,3,Valley Ranch 05 11 Silverton Village,2197,4312,1988,18,168,39,Active,,,14401720,N,Y,32.9303046,-96.9508363
MLS Listing,,Single Family Residential,4603 Copper Mountain Trl,Arlington,TX,76005,354656,3,2,Viridian,1702,4312,2020,41,208,83,Active,,,14382342,N,Y,32.79401,-97.083271
MLS Listing,,Single Family Residential,1621 Rose Willow Way,Arlington,TX,76005,404988,3,2.5,Viridian,2587,4312,2020,41,157,83,Active,,,14382263,N,Y,32.79401,-97.083271
MLS Listing,,Single Family Residential,1 Lakeside Park,Dallas,TX,75225,2295000,4,6.5,Caruth Homeplace 7th Sec Rev,7282,"4,294",1990,51,315,292,Active,,,14334377,N,Y,32.8597149,-96.7736256
MLS Listing,,Single Family Residential,5640 Eisenhower Dr,Fort Worth,TX,76112,260000,3,2,Rosedale Park Add,2676,4269,1957,1,97,,Active,August-21-2020 04:00 PM,August-21-2020 06:00 PM,14410680,N,Y,32.7275011,-97.2321883
MLS Listing,,Single Family Residential,3033 Saint Ursula Dr,Dallas,TX,75233,184900,3,2,Encino Hills,1081,4269,2005,4,171,,Active,,,14412681,N,Y,32.7094287,-96.8739074
MLS Listing,,Condo/Co-op,7640 W Greenway Blvd Unit 8M,Dallas,TX,75209,189500,1,1.5,Inwood Crossroads Condominiums,922,,1983,41,206,349,Active,,,14381508,N,Y,32.8489337,-96.8188889
MLS Listing,,Single Family Residential,992 Rebecca Dr,Allen,TX,75013,423730,3,2,Village At Twin Creeks Ph Four,1848,4269,2020,6,229,125,Active,,,14410662,N,Y,33.1134549,-96.6829959
MLS Listing,,Single Family Residential,7304 Park Lake Dr,Dallas,TX,75230,925000,3,4,Lake Forest Ph F,3852,4269,2001,10,240,538,Active,,,14403042,N,Y,32.9134753,-96.7798185
MLS Listing,,Vacant Land,26 Stonebriar Way,Frisco,TX,75034,1700000,0,,Stonebriar Creek Sub,,118004,,41,,133,Active,,,14381108,N,Y,33.095075,-96.837213
MLS Listing,,Single Family Residential,4021 Renee Dr,Dallas,TX,75227,217999,3,2,Prairie Creek,1267,4269,2020,14,172,,Active,,,14404010,N,Y,32.7748,-96.665
MLS Listing,,Condo/Co-op,10566 High Hollows Dr #256,Dallas,TX,75230,175000,2,2.5,Hollows North Condo,1663,452850,1970,41,105,823,Active,,,14382418,N,Y,32.8892944,-96.7731272
MLS Listing,,Vacant Land,4602 Sycamore St,Dallas,TX,75204,157500,0,,Blankenship & Blakes,,7231,,41,,,Active,,,14382455,N,Y,32.799626,-96.773889
MLS Listing,,Single Family Residential,1820 Masters Dr,DeSoto,TX,75115,285000,3,3,Townhomes Thorntree Ph 02,2276,4269,2005,25,125,8,Active,,,14396082,N,Y,32.6254681,-96.8750386
MLS Listing,,Single Family Residential,939 Switchgrass Ln,Allen,TX,75013,436790,3,2.5,Village At Twin Creeks Ph Four,2550,4269,2020,26,171,125,Active,,,14392291,N,Y,33.1122896,-96.6818496
MLS Listing,,Single Family Residential,5231 Mission Ave,Dallas,TX,75206,814000,4,4,Cochran Heights,3380,4269,2006,34,241,,Active,,,14382303,N,Y,32.817758,-96.782083
MLS Listing,,Single Family Residential,7130 Sorcey Rd,Dallas,TX,75249,195000,4,2,Woodberry Creek,1362,4225,2004,10,143,,Active,,,14408554,N,Y,32.634621,-96.9466417
MLS Listing,,Single Family Residential,920 Winchester Ln,Mesquite,TX,75181,207500,3,2,Creek Crossing Estates,1406,4225,1991,11,148,,Active,,,14406907,N,Y,32.7558627,-96.5620541
MLS Listing,,Vacant Land,3814 Dempster Ave,Cockrell Hill,TX,75211,100000,0,,Richmond Hill,,9060,,41,,,Active,,,14382386,N,Y,32.7372686,-96.8833118
MLS Listing,,Condo/Co-op,5860 Marina Dr #24,Garland,TX,75043,199900,3,3.5,Captains Quarters Condo,2164,202772,1977,41,92,392,Active,,,14378457,N,Y,32.8563742,-96.5482895
MLS Listing,,Single Family Residential,2205 Wildbriar Dr,Arlington,TX,76014,199900,3,2,Springridge Add,1264,4225,1981,12,158,,Active,,,14403861,N,Y,32.6987913,-97.0717249
MLS Listing,,Single Family Residential,9214 Summerlee St,Dallas,TX,75227,247999,4,2.5,Prairie Creek,1882,4225,2020,14,132,,Active,,,14404054,N,Y,32.7748,-96.665
MLS Listing,,Single Family Residential,4856 Haven Ridge Rd,Carrollton,TX,75010,388000,3,2,The Reserve On Parke,1730,4225,2018,18,224,32,Active,,,14401021,N,Y,33.044008,-96.86712
MLS Listing,,Single Family Residential,9208 Summerlee St,Dallas,TX,75227,229999,3,2,Prairie Creek,1481,4225,2020,28,155,,Active,,,14391621,N,Y,32.7748,-96.665
MLS Listing,,Single Family Residential,731 Kirby Dr,Lantana,TX,76226,375000,4,3.5,Magnolia Add Ph D,3090,4225,2010,47,121,121,Active,,,14374347,N,Y,33.1025536,-97.1309111
MLS Listing,,Townhouse,631 Oakridge Dr,Wylie,TX,75098,304000,2,2,Woodbridge Villas,1353,4182,2020,3,225,185,Active,,,14413541,N,Y,33.003557,-96.578945
MLS Listing,,Townhouse,4354 Westside Dr,Highland Park,TX,75209,655000,2,2.5,Highland Park West 9th Inst Rev,2600,4182,1981,10,252,350,Active,,,14402548,N,Y,32.8241401,-96.8169463
MLS Listing,,Single Family Residential,6344 Winton St,Dallas,TX,75214,309900,3,2,Bel Air,1274,4182,1982,27,243,,Active,,,14392827,N,Y,32.835245,-96.7531208
MLS Listing,,Single Family Residential,12744 Friar St,Farmers Branch,TX,75234,394990,3,2,Mercer Crossing,1800,4182,2020,28,219,67,Active,,,14392000,N,Y,32.915933,-96.928961
MLS Listing,,Ranch,County Road 592 Rd,Nevada,TX,75173,432000,0,,Part of 36.82 acres,,784080,,41,,,Active,,,14382290,N,Y,33.023755,-96.355795
MLS Listing,,Single Family Residential,2533 Lady Amide Ln,Lewisville,TX,75056,479900,4,3.5,Castle Hills Ph IV Sec C,3317,4182,2014,31,145,105,Active,,,14383732,N,Y,33.0455768,-96.9029076
MLS Listing,,Single Family Residential,624 Gentry Ln,Flower Mound,TX,75028,350000,4,2.5,Lexington Glen,2254,4182,2002,41,155,20,Active,,,14382656,N,Y,33.0374536,-97.0372865
MLS Listing,,Single Family Residential,8027 Sunflower Ln,Dallas,TX,75252,513900,4,3,University Place Add Ph 2,2780,4138,2017,12,185,50,Active,,,14405282,N,Y,32.9921097,-96.7668661
MLS Listing,,Single Family Residential,5445 Ellsworth Ave,Dallas,TX,75206,699000,3,3.5,Interurban Hills Add,2745,4138,2016,31,255,,Active,,,14389535,N,Y,32.833919,-96.775273
MLS Listing,,Single Family Residential,4438 Jenkins St,The Colony,TX,75056,210000,4,2,Colony 24,1258,4095,1983,18,167,,Active,,,14401108,N,Y,33.1015262,-96.8974586
MLS Listing,,Vacant Land,4103 S Marsalis Ave,Dallas,TX,75216,69900,0,,South Marsalis Pk Add,,11761,,41,,,Active,,,14360212,N,Y,32.6948132,-96.8150246
MLS Listing,,Single Family Residential,5311 Anita St,Dallas,TX,75206,699000,3,2.5,GLENCOE TERRACE,2148,4051,2017,7,325,125,Active,,,14406813,N,Y,32.834203,-96.777918
